lang,query,url,title,error
uk,Добровольчий український корпус,https://vk.com/public90014533,Волонтерський рух Правий Сектор Херсон,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 13.03.2015 № 27-31-2015/Ид831-15
uk,Добровольчий український корпус,https://vk.com/club75917617,Капеланія. Ідеологічно-Інформаційний відділ ДУК,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 12.03.2015 № 27-31-2015/Ид831-15
uk,Добровольчий український корпус,https://vk.com/club84175993,Правый сектор,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 13.03.2015 № 27-31-2015/Ид831-15
uk,Добровольчий український корпус,https://vk.com/dukps,ДОБРОВОЛЬЧИЙ УКРАЇНСЬКИЙ КОРПУС,Этот материал заблокирован на территории РФ по требованию Роскомнадзора на основании решения Генеральной прокуратуры № 27-27-2014 от 04.03.2014
uk,Добровольчий український корпус,https://vk.com/unsozdolbuniv,УНСО Здолбунів,Этот материал заблокирован на территории РФ согласно требованию Генеральной прокуратуры Российской Федерации от 12.03.2015 № 27-31-2015/Ид831-15
uk,Добровольчий український корпус,https://vk.com/club111681468,Правый сектор,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 12.03.2015 № 27-31-2015/Ид831-15
uk,Добровольчий український корпус,https://vk.com/ps_duk_che_22,22 Резервна Сотня ДУК ПС /Чернігів,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 12.03.2015 № 27-31-2015/Ид831-15
uk,Добровольчий український корпус,https://vk.com/public90298136,Царичанський Підрозділ 14 ЗБАТ-у ДУК ПС,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 12.03.2015 № 27-31-2015/Ид831-15
uk,Добровольчий український корпус,https://vk.com/soloneps14,Правий Сектор - Солонянщина / 14-та РС ДУК ПС,Этот материал заблокирован на территории РФ по требованию Роскомнадзора на основании решения Генеральной прокуратуры № 39-88-2014 от 21.04.2014
uk,Добровольчий український корпус,https://vk.com/avengers_sever,"Підрозділ ""Месники"" ім. Сергія Табали",Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 12.03.2015 № 27-31-2015/Ид831-15
uk,Добровольчий український корпус,https://vk.com/duk.mobilization,Мобілізаційний Центр ДУК,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 13.03.2015 № 27-31-2015/Ид831-15
uk,Добровольчий український корпус,https://vk.com/public88029840,15 запасний батальйон ДУК -Правий сектор-Харків,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 12.03.2015 № 27-31-2015/Ид831-15
